,Question,Answer
177012,"
   ليش رح ننبسط مع بعض
  ","
  Block-,-
  "
177013,"
   خلوني صاحبكم طيب
  ","

   ما بدنا دخلاء✋
  
"
177014,"
   كمان انتي ماسة صاحبتك😇
  ","

   اه ليش👀
  
"
177015,"
   يلا مش اول وحدة بتكون معلقة🌚
  ","

   ههههههه
  
"
177016,"
   متى طلقك؟
  ","

   لا والله لساتني على زمتو
   
   بس البيو سرق مني شبابي💔😴
  
"
177017,"
   بروكن🙄😒😒
  ","

   سو بروكن 😔💔
  
"
177018,"
   تابعتك
  ","

   باك
  
"
177019,"
   🙈🙈🙈🙈🙈🙈🙈
  ","
  🙆🙆🙈
  "
177020,"
   ك'ككييفكك؟ 😍...  مسسآاححة'ة حلوة'ة 🙈💜
  ","

   سهوا دعوت الله
   
   ...لك!
   
   ان نلتقي،
   
   أن أقضي الدنيا معك،
   
   وخشعت -جدا-
   
   ناسيا
   
   أنا تفرقنا
   
   يقيني صار شك!
   
   سهوا فتحت دفاتر الذكرى
   
   بوجهي،
   
   وانهمرت مقبلا وجه القصيدة في اضلعي 💔
  
"
177021,"
   بروكين ؟
سلامة قلبك يزم
  ","

   وقلبك
  
"
177022,"
   مموو لهدرجه زهور ما اختلفنا. بس احنا. حشرات 😱😱
  ","

   اوكككك
  
"
177023,"
   بس برضووو مش لهدرجة 😂
  ","

   هههههه اوك
  
"
177024,"
   ليه ليخرب الصبح هيك ماشاء الله عنك. كامله ومكمله
  ","

   شكرا
  
"
177025,"
   Advice""-""🌸
  ","

   اعلم ان جزءا من أحلامك سيتساقط يوما...
   
   ان سقط بعضها لا تسقط معها و لا تترك ما تبقى..
  
"
177026,"
   YES
  ","
  👍
  "
177027,"
   اه والله 😂 بس التالت ما بقتل الخامس بنقدرش نعتبر ال ٥ بعد ال ٣  .. التالت والخامس حيضلو عايشين
  ","

   لا مهو حسب السيركل الي كانو ماشين فيها 😂
  
"
177028,"
   SO WHAT IS GOING ON
  ","
  From any side?
  "
177029,"
   WOW
  ","
  ☺
  "
177030,"
   انت احلى من الحلا
  ","

   اها
  
"
177031,"
   انت حلوة !
  ","

   آي دونت نو 🌚
  
"
177032,"
   YOU ARE DOCTOR ?
  ","
  Still studying dentist at the first year
  "
177033,"
   I RESPECT YOUR DECISION
  ","
  Thanks
  "
177034,"
   صباحك جميل. كجمال. وجهك. كنقاء. قلبك.
  ","

   وااال خرب الصبح 🌚
  
"
177035,"
   IF YOU DONOT MIND MAY I KNOW
  ","
  It's private sorry
  "
177036,"
   YOU MISS YOUR CHILDHOOD
  ","
  I'm still in childhood 😅😅
  "
177037,"
   ANY REASON BEHIND 11:11
  ","
  Yes, sth has a private meaning to me for someone
  "
177038,"
   تقليد على هالصبح 🌚🌚🌚
  ","

   يب جكر بس 😹😹😹🌚
  
"
177039,"
   فلو ☺ ☺
  ","

   باك
  
"
177040,"
   -🌚
  ","
  🌚🌚🌚🌚🌚🌚🌚🌚🌚🌚🌚🌚🌚🌚🌚🌚🌚🌚
  
  يصعب علينا أن نغرق انفسنا ..تحت المطر وفي الدمع ..ليس معنى ذلك اننا غير قابلين للبلل
  
  كل ما في الامر اننا اعتدنا الجفاف لا أكثر
  "
177041,"
   تابعتك
  ","

   بادلتك
  
"
177042,"
   3
  ","
  Ok
  "
177043,"
   حبيبي يا صاحبي💙💙
  ","
  💜
  "
177044,"
   Ok good night sweet dreams and fe Aman Allah
  ","
  Nighty
  "
177045,"
   لا باحلامك لا باوهامك اغار 🌚🌚🌚🌚🌚
  ","

   كيف حالك👇ههههه
  
"
177046,"
   Can I be your fan
  ","
  I don't know
  "
177047,"
   Why you so much beautiful
  ","
  Habitus of allah
  "
177048,"
   Hi
  ","
  Hello
  "
177049,"
   اغنية هاي
  ","

   اها ok
  
"
177050,"

    https://www.youtube.com/watch?v=osCw73O_WMo
   
","

   ما بفتح لينكات☺
  
"
177051,"
   علينا يا مندلينة🌚🌚
  ","

   احنا اللي ئشرناك بايدينا👌
  
"
177052,"
   بشيكلين ونص بس🌚
برجع وبحكيلك انا ما بتهدد وأعلى ما بخيلك اركبيه🌚🌚
سلام يا صاحبي🌚
  ","

   هو ببلاش بس مشان الفشخرة حكيت بشيكلين ونص 😺
   
   و روحي شئلبي
  
"
177053,"
   ليش بالله؟
انا ما بتهدد ولييه😂
ثم انكي انت التي سوف تتخوزق ان جاوبتي😂😂
  ","

   هاي اول تنبيه
   
   انا ما بتخوزق بتعرفي اني بايعتها بشيكلين ونص 🌚
   
   عيديها وبعمل منشن🌚 و إلقي ازا بتلقي
   
   وبعمل منشن لوحدة تانية كمان🌚
  
"
177054,"
   ما توقعتها منك يا صاحبي🌚
تشكي فيي أخر الزمن🌚
  ","

   ههههه
   
   مشان الاينجل بس اخوي 😸😹
  
"
177055,"
   ميين. سارره. لا. 😍😍
  ","

   اه اوك سوري فكرت صاحبتي
  
"
177056,"
   انتي انجل. مو. بشرر 😍😍😍
  ","

   سارة ولي صح؟😅
  
"
177057,"
   منشن لنيرد 😂 خلنا نشوف اذا في عندهم اسكات
  ","

   @SojodAbualrub
  
  🌚🌚 جماعة الطب
  "
177058,"
   ايش يا حص🌚
  ","

   آه يحب😍
  
"
177059,"
   هههههه الكل هيك
  ","

   يا ربي عفوك🌚😂
  
"
